season,League_name,team_long_name_x,W,D,L,GF,GA,Pts,GD
2015/2016,Portugal Liga ZON Sagres,CF Os Belenenses,10,11,13,44,66,41,-22
2015/2016,Portugal Liga ZON Sagres,CS Marítimo,10,5,19,45,63,35,-18
2015/2016,Portugal Liga ZON Sagres,Estoril Praia,13,8,13,40,41,47,-1
2015/2016,Portugal Liga ZON Sagres,FC Arouca,13,15,6,47,38,54,9
2015/2016,Portugal Liga ZON Sagres,FC Paços de Ferreira,13,10,11,43,42,49,1
2015/2016,Portugal Liga ZON Sagres,FC Porto,23,4,7,67,30,73,37
2015/2016,Portugal Liga ZON Sagres,Moreirense FC,9,9,16,38,54,36,-16
2015/2016,Portugal Liga ZON Sagres,Rio Ave FC,14,8,12,44,44,50,0
2015/2016,Portugal Liga ZON Sagres,SC Braga,16,10,8,54,35,58,19
2015/2016,Portugal Liga ZON Sagres,SL Benfica,29,1,4,88,22,88,66
2015/2016,Portugal Liga ZON Sagres,Sporting CP,27,5,2,79,21,86,58
2015/2016,Portugal Liga ZON Sagres,Tondela,8,6,20,34,54,30,-20
2015/2016,Portugal Liga ZON Sagres,Uniao da Madeira,7,8,19,27,50,29,-23
2015/2016,Portugal Liga ZON Sagres,Vitória Guimarães,9,13,12,45,53,40,-8
2015/2016,Portugal Liga ZON Sagres,Vitória Setúbal,6,12,16,40,61,30,-21
2015/2016,Scotland Premier League,Aberdeen,22,5,11,62,48,71,14
2015/2016,Scotland Premier League,Celtic,26,8,4,93,31,86,62
2015/2016,Scotland Premier League,Dundee FC,11,15,12,53,57,48,-4
2015/2016,Scotland Premier League,Dundee United,8,7,23,45,70,31,-25
2015/2016,Scotland Premier League,Hamilton Academical FC,11,10,17,42,63,43,-21
2015/2016,Scotland Premier League,Heart of Midlothian,18,11,9,59,40,65,19
2015/2016,Scotland Premier League,Inverness Caledonian Thistle,14,10,14,54,48,52,6
2015/2016,Scotland Premier League,Kilmarnock,9,9,20,41,64,36,-23
2015/2016,Scotland Premier League,Motherwell,15,5,18,47,63,50,-16
2015/2016,Scotland Premier League,Partick Thistle F.C.,12,10,16,41,50,46,-9
2015/2016,Scotland Premier League,Ross County FC,14,6,18,55,61,48,-6
2015/2016,Scotland Premier League,St. Johnstone FC,16,8,14,58,55,56,3
2015/2016,Spain LIGA BBVA,Athletic Club de Bilbao,18,8,12,58,45,62,13
2015/2016,Spain LIGA BBVA,Atlético Madrid,28,4,6,63,18,88,45
2015/2016,Spain LIGA BBVA,FC Barcelona,29,4,5,112,29,91,83
2015/2016,Spain LIGA BBVA,Getafe CF,9,9,20,37,67,36,-30
2015/2016,Spain LIGA BBVA,Granada CF,10,9,19,46,69,39,-23
2015/2016,Spain LIGA BBVA,Levante UD,8,8,22,37,70,32,-33
2015/2016,Spain LIGA BBVA,Málaga CF,12,12,14,38,35,48,3
2015/2016,Spain LIGA BBVA,RC Celta de Vigo,17,9,12,51,59,60,-8
2015/2016,Spain LIGA BBVA,RC Deportivo de La Coruña,8,18,12,45,61,42,-16
2015/2016,Spain LIGA BBVA,RCD Espanyol,12,7,19,40,74,43,-34
2015/2016,Spain LIGA BBVA,Rayo Vallecano,9,11,18,52,73,38,-21
2015/2016,Spain LIGA BBVA,Real Betis Balompié,11,12,15,34,52,45,-18
2015/2016,Spain LIGA BBVA,Real Madrid CF,28,6,4,110,34,90,76
2015/2016,Spain LIGA BBVA,Real Sociedad,13,9,16,45,48,48,-3
2015/2016,Spain LIGA BBVA,Real Sporting de Gijón,10,9,19,40,62,39,-22
2015/2016,Spain LIGA BBVA,SD Eibar,11,10,17,49,61,43,-12
2015/2016,Spain LIGA BBVA,Sevilla FC,14,10,14,51,50,52,1
2015/2016,Spain LIGA BBVA,UD Las Palmas,12,8,18,45,53,44,-8
2015/2016,Spain LIGA BBVA,Valencia CF,11,11,16,46,48,44,-2
2015/2016,Spain LIGA BBVA,Villarreal CF,18,10,10,44,35,64,9
2015/2016,Switzerland Super League,BSC Young Boys,20,9,7,78,47,69,31
2015/2016,Switzerland Super League,FC Basel,26,5,5,88,38,83,50
2015/2016,Switzerland Super League,FC Luzern,15,9,12,59,50,54,9
2015/2016,Switzerland Super League,FC Sion,14,8,14,52,49,50,3
2015/2016,Switzerland Super League,FC St. Gallen,10,8,18,41,66,38,-25
2015/2016,Switzerland Super League,FC Thun,10,11,15,45,54,41,-9
2015/2016,Switzerland Super League,FC Vaduz,7,15,14,44,60,36,-16
2015/2016,Switzerland Super League,FC Zürich,7,13,16,48,71,34,-23
2015/2016,Switzerland Super League,Grasshopper Club Zürich,15,8,13,65,56,53,9
2015/2016,Switzerland Super League,Lugano,9,8,19,46,75,35,-29
